danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,Song Title,Artist
0.595,0.473,0.7272727272727273,0.47922761849034523,1,0.0347,0.702,0.0,0.0725,0.716,1.0,audio_features,4dqEzdFAYkj1rjYLVDuTlN,spotify:track:4dqEzdFAYkj1rjYLVDuTlN,https://api.spotify.com/v1/tracks/4dqEzdFAYkj1rjYLVDuTlN,https://api.spotify.com/v1/audio-analysis/4dqEzdFAYkj1rjYLVDuTlN,249293,4,country,Islands In the Stream,Dolly Parton
0.526,0.978,0.7272727272727273,0.30093002657218776,1,0.108,0.00122,4.75e-05,0.0744,0.451,0.7209202563644256,audio_features,05RgAMGypEvqhNs5hPCbMS,spotify:track:05RgAMGypEvqhNs5hPCbMS,https://api.spotify.com/v1/tracks/05RgAMGypEvqhNs5hPCbMS,https://api.spotify.com/v1/audio-analysis/05RgAMGypEvqhNs5hPCbMS,210227,4,rock,Panama - 2015 Remaster,Van Halen
0.742,0.819,0.09090909090909091,0.5063931297709924,1,0.0487,0.372,0.0,0.277,0.709,0.583956128802352,audio_features,1CUVN2kn7mW5FjkqXTR2W1,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,https://api.spotify.com/v1/tracks/1CUVN2kn7mW5FjkqXTR2W1,https://api.spotify.com/v1/audio-analysis/1CUVN2kn7mW5FjkqXTR2W1,196613,4,pop,Perfect Strangers,Jonas Blue
0.832,0.43,0.0,0.5485774376350996,1,0.0826,0.0606,0.00323,0.124,0.462,0.7222910548959544,audio_features,1pm7lQGl6mvKWDxesZTVFp,spotify:track:1pm7lQGl6mvKWDxesZTVFp,https://api.spotify.com/v1/tracks/1pm7lQGl6mvKWDxesZTVFp,https://api.spotify.com/v1/audio-analysis/1pm7lQGl6mvKWDxesZTVFp,299333,4,rnb,Lollipop,Lil Wayne
0.534,0.583,0.18181818181818182,0.6727695888285493,1,0.0288,0.0262,0.0,0.421,0.145,0.5247135113729179,audio_features,0S0vWvyZ6Rc79TXkWxT9QA,spotify:track:0S0vWvyZ6Rc79TXkWxT9QA,https://api.spotify.com/v1/tracks/0S0vWvyZ6Rc79TXkWxT9QA,https://api.spotify.com/v1/audio-analysis/0S0vWvyZ6Rc79TXkWxT9QA,231547,4,rap,Save That Shit,Lil Peep
0.566,0.834,0.5454545454545454,0.4656775907883083,0,0.0298,0.00277,0.008,0.0625,0.621,0.629655542220974,audio_features,3VqHuw0wFlIHcIPWkhIbdQ,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,https://api.spotify.com/v1/tracks/3VqHuw0wFlIHcIPWkhIbdQ,https://api.spotify.com/v1/audio-analysis/3VqHuw0wFlIHcIPWkhIbdQ,331560,4,rock,Enter Sandman (Remastered),Metallica
0.88,0.428,0.8181818181818182,0.6423584173778122,1,0.206,0.149,5.05e-05,0.114,0.333,0.49504739747048493,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4,rap,Ric Flair Drip (with Metro Boomin),Offset
0.497,0.041,0.18181818181818182,0.7538911550021468,0,0.0341,0.995,0.956,0.119,0.0399,0.39255910449147685,audio_features,6AGA4j46aZkdKmH8m40uFi,spotify:track:6AGA4j46aZkdKmH8m40uFi,https://api.spotify.com/v1/tracks/6AGA4j46aZkdKmH8m40uFi,https://api.spotify.com/v1/audio-analysis/6AGA4j46aZkdKmH8m40uFi,209230,4,classical,"Concerto in D Minor, BWV 974: II. Adagio",Johann Sebastian Bach
0.743,0.675,0.7272727272727273,0.249284337208623,0,0.0953,0.0251,0.000717,0.0685,0.59,0.45320136971600833,audio_features,1KGi9sZVMeszgZOWivFpxs,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,214400,4,rnb,No Scrubs,TLC
0.564,0.71,1.0,0.4694656488549618,0,0.0461,0.00125,0.0,0.109,0.393,0.4552032705423517,audio_features,5pDUMdIiW0rNLzFryqpC9j,spotify:track:5pDUMdIiW0rNLzFryqpC9j,https://api.spotify.com/v1/tracks/5pDUMdIiW0rNLzFryqpC9j,https://api.spotify.com/v1/audio-analysis/5pDUMdIiW0rNLzFryqpC9j,225147,4,pop,Diamonds,Rihanna
